# dari http://www.geocities.com/CapeCanaveral/1999/, last mod 1995-11-29
# "You can download English-Indonesian dictionary (323k) that I made. Use WINZIP.EXE to unpack the file. I use dbf file (dBase III+). It has over that 17,000 words. This dictionary is designed to help us (Indonesian) reading English literatures, so I omit simple words that everybody usually knows. You may modify it to meet your needs. It's for free. It's for end user only, not commercial. You can distribute this file to everybody who needs it."
"ENGLISH,C,20"	"INDONESIA,C,50"
"infer"	"mengambil keputusan/kesimpulan"
"inference"	"hal menarik kesimpulan,kesimpulan,kesudahan,kepu-"
"inference"	"tusan"
"infatuate"	"jatuh hati,tergila2,terkesan scr kurang bijaksana"
"infatuation"	"hal jatuh hati pd,kegilaan,birahi"
"infect"	"menulari,menyakiti,mempengaruhi"
"infection"	"kejangkitan penyakit"
"infectious"	"menjangkitkan penyakit,mudah berjangkit,menular,"
"infectious"	"mempengaruhi/menjalar dgn cepat"
"infant"	"bayi (<2 thn)"
"infancy"	"masa bayi/kecil,taraf permulaan dlm perkembangan"
"infanticide"	"pembunuhan bayi"
"infantile"	"berkenaan dgn bayi/anak kecil"
"infamous"	"jahat,hina,keji"
"infamy"	"kehinaan,kekejian,ketdksenonohan"
"inexorable"	"tdk terbujuk/terkalahkan/mengalah/mengenal ampun"
"inevitable"	"tdk dpt dihindari,pasti tjd"
"inestimable"	"tdk ternilai/terkira/terhitung"
"inert"	"tdk bertenaga,kaku,lamban,tdk dpt bereaksi"
"intertia"	"kelambanan,kead diam"
"inept"	"aneh,janggal,mustahil,tdk pd tempatnya"
"ineptitude"	"tindakan dll yg tdk pd tempatnya"
"inebriate"	"memabukkan,merangsang"
"ineffable"	"tdk terlukiskan/terbayangkan"
"industry"	"sifat suka bekerja keras,ketekunan"
"industrious"	"rajin,tekun,suka kerja keras"
"indulge"	"memanjakan,memuaskan diri,memberi hati"
"indulgence"	"sesuatu yg disukai,kesenangan,hal memanjakan,"
"indulgence"	"pengampunan (Katolik)"
"indulgent"	"manja,memberi hati,membiarkan"
"induction"	"pengadaan fakta utk mmbuktikan hukum yg lebih umum"
"inductive"	"berkenaan dgn cara berpikir induksi"
"induce"	"membujuk,menyebabkan,menimbulkan"
"inducement"	"bujukan"
"indubitable"	"tdk dpt disangsikan,pasti"
"indoctrinate"	"menanamkan pd pikiran org,mengajarkan dgn mendlm"
"individuality"	"kepribadian"
"indisposed"	"kurang sehat,segan,keberatan"
"indisposition"	"kead kurang sehat,keseganan"
"indispensable"	"hrs ada,tdk boleh tdk"
"indiscretion"	"tingkah laku dll yg kurang bijaksana"
"indiscriminate"	"sembarangan,tanpa pilih2"
"indignity"	"penghinaan,perlakuan tdk senonoh"
"indigent"	"miskin,tanpa uang"
"indigence"	"kemiskinan"
"indigestion"	"gangguan pd pencernaan"
"indignant"	"marah,geram"
"indignation"	"kemarahan,kegeraman"
"indict"	"menuduh,menuntut"
"indictable"	"dpt dituduh/dituntut"
"indictment"	"tuntutan/tuduhan tertulis"
"indifferent"	"tdk peduli,masa bodoh,biasa,tdk bermutu,kurang ca-"
"indifferent"	"kap"
"indifference"	"sikap masa bodoh,hal tdk penting"
"india paper"	"kertas cetak yg sangat tipis"
"indian corn"	"jagung"
"indian file"	"berbaris satu-satu"
"india rubber"	"karet penghapus"
"indicate"	"menunjukkan,menandakan,menyatakan"
"indicative nood"	"bentuk kata kerja yg dipakai utk menyatakan/mena-"
"indicative mood"	"nyakan fakta"
"indicative of"	"menunjukkan,menandakan"
"index"	"penunjuk,daftar"
"index finger"	"jari telunjuk"
"indenture"	"surat perjanjian rangkap 2 antara majikan & magang"
"indent"	"memasukkan,melekukkan,memesan(resmi),(alinea baru)"
"indemnify"	"menjamin,menanggung,mengganti rugi"
"indemnity"	"jaminan,ganti rugi"
"indelicate"	"kasar,tdk sopan"
"indelicacy"	"hal tdk sopan,kekasaran"
"indelible"	"tdk dpt dihapus/dihilangkan"
"incumbent"	"berkewajiban utk,pejabat gereja"
"incubate"	"mengerami"
"incubator"	"mesin pengeram,perkakas bayi yg lahir prematur"
"incorrigible"	"tdk dpt diperbaiki/dibetulkan"
"incorporate"	"mpsatukan,menggabungkan,bergabung"
"incorporation"	"badan gabungan"
"inconvenience"	"gangguan,kerepotan,menyusahkan"
"incognito"	"dgn menyamar/merahasiakan namanya"
"inclusion"	"hal termasuk,penyertaan"
"inclusive"	"termasuk semua"
"incongruous"	"tdk sesuai/cocok/seimbang/pd tempatnya"
"incongruity"	"hal tdk sesuai/cocok/seimbang/pd tempatnya"
"inconsequent"	"tdk berurutan,menanyakan hal yg tdk pd tempatnya"
"inconsequential"	"tdk berurutan/penting"
"inasmuch as"	"krn,sebab"
"inalienable"	"tdk dpt dipindahtangankan"
"incident"	"kejadian,peristiwa"
"incidental"	"mengiringi,mendadak,tdk terduga,tdk penting,minor"
"incendiary"	"pembakar,pengacau,penghasut,menyebabkan kebakaran"
"incarnate"	"menitis,menjelma,mewujudkan"
"incarnation"	"penjelmaan (Kristus),perwujudan"
"inaugurate"	"melantik,membuka,meresmikan"
"inaugural"	"berkenaan dgn pelantikan/pembukaan/peresmian"
"inapt"	"tdk mahir/cakap/patut/pd tempatnya"
"inanition"	"kekosongan,kelemahan krn kurang makan"
"inanimate"	"tdk bernyawa/bersemangat"
"inane"	"bodoh,kurang bijaksana"
"inanity"	"perbuatan bodoh/kurang bijaksana/tdk berguna"
"inadvertent"	"tdk menunjukkan perhatian,tdk sengaja,lengah"
"inadvertence"	"kelengahan,ketdksengajaan,kelalaian"
"the ins & the outs"	"bag2 yg berlainan,seluk-beluk,bag yg kecil2"
"in touch with"	"berhub dgn"
"give in"	"menyerah"
"howl"	"lolong serigala,raung,seru,pekik"
"howler"	"kesalahan yg menggelikan"
"however"	"akan tetapi,bgmnpun juga,meskipun dmkn,namun"
"house"	"bring down the ~:mdpt tepuk tangan dr penonton"
"house"	"keluaga,keturunan,prshn dagang,menyediakan rumah,"
"house"	"menyimpan,menaruh,menempatkan"
"housebreaker"	"pencuri yg masuk rumah pd siang hari"
"householder"	"pemilik/penyewa/penghuni rumah"
"housekeeper"	"pembantu rumah tangga (bkn babu)"
"housemaid"	"babu"
"housemaster"	"guru yg mjd pengawas asrama"
"housewife"	"ibu rumah tangga,tempat alat2 jahit"
"hour"	"at the 11th ~s:pd saat terakhir"
"hour"	"the small ~s:larut malam"
"hour"	"saat,wkt"
"hour"	"questions of the ~:persoalan2 yg sdg dibicarakan"
"hourly"	"tiap jam,jam demi jam"
"hotch-potch"	"campur aduk"
"hound"	"anjing berburu/berpacu,org hina,memburu,mengejar"
"foxhound"	"anjing utk berburu rubah"
"hostile"	"bermusuhan,memusuhi"
"hostility"	"permusuhan,peperangan,pertempuran"
"hot"	"get into ~ water:mdpt kesukaran"
"hot air"	"bual,omong kosong"
"hot on the trail"	"dekat dgn yg diburu"
"hot"	"blow ~ & cold:berubah2 sikap"
"hot-bed"	"persemaian,tempat subur (bg kejahatan dll)"
"hot-headed"	"lekas marah"
"hothouse"	"rumah kaca utk menanam"
"hotly"	"sangat ingin,tekun,berhasrat sekali,getol"
"hot-pot"	"makanan hangat yg dimasak dlm panci tertutup"
"hot-pot"	"(daging,kentang,sayur)"
"host"	"hosti,jml bsr,tentara,tuan/pengurus rumah/hotel"
"hostess"	"nyonya rumah"
"hospitable"	"menerima tamu dng hangat,tangan terbuka,murah hati"
"hospice"	"tempat istirahat dlm perjlnan (dlm agama)"
"horticulture"	"pengetahuan/seni berkebun"
"hose"	"selang air,kaus kaki panjang wanita dr nilon,cela-"
"hose"	"na laki2 ketat jaman dulu"
"hosier"	"penjual kaus kaki,pakaian dlm dll"
"hosiery"	"barang2 spt kaus kaki,pakaian dlm dll"
"horror-struct"	"sangat ngeri/takut"
"horror-stricken"	"sangat ngeri/takut"
"horrible"	"mengerikan,menakutkan,buruk"
"horrid"	"mengerikan,menjengkelkan"
"horrify"	"mengerikan,menakutkan,mengejutkan"
"horoscope"	"gambaran kedud bintang pd wkt ttt"
"mare"	"kuda betina"
"horse"	"tentara kuda,kavaleri,kuda2"
"horseman"	"penunggang kuda laki2"
"horsewoman"	"penunggang kuda wanita"
"horsemanship"	"kemahiran menunggang kuda"
"horseplay"	"bermain/canda dgn ramai & agak kasar"
"horse-radish"	"semcm lobak merah pedas"
"horse-sense"	"akal/pikiran sehat"
"horsewhip"	"cambuk,cemeti"
"horsy"	"berkenaan dgn kuda (pacuan/kegemaran)"
"horde"	"suka mengembara,org bnyk"
"hopper"	"anak belalang,alat berbentuk kerucut terbalik utk-"
"hopper"	"jln biji2an ke penggilingan/batubara ke perapian"
"horn"	"tanduk,smcm terompet"
"horn"	"draw in one's ~:enggan berbuat,menarik diri"
"hornpipe"	"(musik utk) dansa pelaut yg lincah"
"horny"	"spt tanduk,kapalan"
"hop"	"tanaman merambat berbunga gugus (bunga utk bir),"
"hop"	"melompat2,melompat dgn 1 kaki,melompat ke seberang"
"hop"	"bag perjlnan dgn pesawat udara"
"hope"	"harapan,kepercayaan,keyakinan"
"hopeful"	"berharap,memberi harapan"
"hoop"	"lingkaran kayu/logam di sekeliling tong,lingkaran-"
"hoop"	"utk permainan anak (hulahup)"
"hoot"	"bunyi burung hantu/klakson/peluit kapal,teriakan-"
"hoot"	"mengejek/mencemooh"
"hook"	"kait,pengait,kail,sangkutan,sabit"
"hook"	"by ~ or by crook:dgn jln apapun,dgn segala upaya"
"hooked"	"spt kait,berkait,bengkok"
"hookworm"	"cacing kerawit"
"hood"	"tutup mobil yg dpt dilipat,tudung+jas hujan,spt-"
"hood"	"tudung"
"holy"	"mengenai Tuhan,saleh,alim"
"Holy Week"	"seminggu sblm Paskah"
"holiness"	"kesucian,hal keramat,Your/His H~:Paus"
"homage"	"hormat,penghormatan,penghargaan,pernyataan setia -"
"homage"	"pd tuannya (zaman feodal)"
"homely"	"biasa,sederhana,membetahkan,menyebabkan rasa spt-"
"homely"	"di rumah"
"Home Office"	"departemen dlm neg Inggris"
"home-made"	"buatan dlm neg/sendiri"
"homespun"	"tenunan sendiri"
"homeward"	"menuju ke rumah,dlm perjlnan pulang"
"homestead"	"rumah petani dgn tanah & rumah2 sekelilingnya"
"honour"	"penghargaan,penghormatan,akhlak/nama baik"
"honour"	"bound in ~:terikat utk"
"honour"	"word of ~:janji utk ditepati"
"honour"	"do the ~s:bertinda sbg"
"honourable"	"luhur,terhormat"
"honour"	"sebutan utk hakim,anggota DPR,putra bangsawan"
"hollow"	"berlobang,berongga,bergema,berkumandang,palsu,tdk-"
"hollow"	"jujur,tdk sungguh2,cekung,kempot,habis2an"
"hole"	"lubang,liang"
"hole"	"pick ~s in:mencari2 kesalahan,mencela"
"hole"	"in a ~:dlm kead canggung/serba salah"
"hole & corner"	"rahasia,tdk terang2an"
"hold"	"menggenggam,memegang,berpendpt,berpikiran,"
"hold back"	"enggan,keberatan,merahasiakan,mencegah"
"hold by"	"menurut,mengikut,berpegang pd"
"hold forth"	"berkotbah,berpidato"
"hold off"	"menjauhi"
"hold out"	"bertahan,cukup,memberikan,menawarkan"
"hold over"	"menunda,menangguhkan"
"hold up"	"menghambat,mplambat,mencegah,menghadang,menodong"
"hold with"	"menyetujui,berkenan,berisi,dpt diisi dgn"
"hold"	"beranggapan,menahan,memiliki,mendiami,mengadakan,"
"hold"	"berlangsung"
"holdall"	"tas bsr dr bahan lemas dpt diisi dgn aneka barang"
"pen-holder"	"tangkai pena"
"holder"	"pemilik,pemegang"
"holding"	"harta/saham/tanah milik"
"hold-up"	"rintangan,kemacetan,perampokan,penodongan"
"hew"	"memotong,menebang,membentuk"
"hewn timber"	"kayu yg telah dibentuk"
"heterodox"	"menyimpang dr ajaran resmi"
"hesitate"	"ragu2,tertegun,bimbang"
"hesitant"	"ragu2,bimbang,was2,tertegun2"
"hesitatingly"	"scr tertegun2/ragu2/bimbang"
"hesitantly"	"scr tertegun2/ragu2/bimbang"
"hesitation"	"keraguan,kebimbangan"
"heroine"	"pahlawan wanita"
"heroic"	"spt pahlawan"
"heroism"	"kepahlawanan"
"hero"	"tokoh/pemeran utama,pahlawan"
"hermetic"	"kedap udara"
"hermetically"	"ditutup shg kedap udara"
"heresy"	"keyakinan/pdpt ttg agm yg berlwnan dgn ajaran"
"heretic"	"pendukung keyakinan heresy"
"heretical"	"berkenaan dgn heresy"
"hereditary"	"turun-temurun"
"heredity"	"sifat turun-temurun,kecenderungan menurunkan"
"here"	"neither ~ nor there:tdk penting,kurang tepat"
"hereabouts"	"di sekitar sini"
"hereafter"	"masa yad,akhirat,kmdn hari"
"hereupon"	"hingga kini,sbg akibatnya"
"herewith"	"dgn ini,bersama ini"
"herculean"	"sangat kuat,sulit utk dikerjakan"
"herd"	"jml ternak,kawanan,rakyat jelata"
"herdsman"	"gembala"
"herbaceous border"	"petak dgn tanaman yg tumbuh+berbunga spnjng thn"
"herb"	"ramuan daun2an utk obat/jamu"
"herbalist"	"penjual jamu"
"henchman"	"pendukung setia (politik)"
"hen"	"induk unggas piaraan,babon"
"henpecked"	"(suami) dikuasai istri"
"hence"	"dr sini/skr,oleh sebab itu,mk dr itu"
"henceforth"	"mulai saat ini dst"
"henceforward"	"mulai saat ini dst"
"herald"	"org yg mengumumkan perintah raja,alamat,tanda"
"heraldry"	"pengetahuan tg lambang2 (kerajaan),asal-usul dll"
"heraldic"	"berkenaan dgn heraldry"
"hem"	"lipatan yg dijahit di tepi baju,lipit"
"hem about"	"mengurung,mengepung,mengelilingi"
"hem in"	"mengurung,mengepung,mengelilingi"
"hemstitch"	"jahitan/hiasan sulam"
"heel"	"miring,memiringkan"
"hecto-"	"100"
"help"	"menahan,menghindari,mencegah,mengelakkan"
"helpmate"	"istri/suami,teman yg membantu"
"heath"	"dataran yg tdk ditanami,padang,belukar"
"heathen"	"kafir,biadab"
"heather"	"semak berbunga kecil2 ungu"
"heaven"	"surga,kead sangat bahagia"
"Good Heavens!"	"Astaga!Ya ampun!"
"heavenly"	"dr/spt surga,sangat indah/menyenangkan"
"hearth"	"dsr perapian,rumah"
"hearth-rug"	"permadani di muka perapian"
"hear"	"mengadili"
"Hear!Hear!"	"seruan tanda menyukai/setuju"
"hearsay"	"apa yg didengar,kabar angin,desas-desus"
"heckle"	"mengajukan pertanyaan yg mengganggu pertemuan"
"heel"	"tumit (sol sepatu),kaus kaki"
"heel"	"take to one's ~s:lari"
"heel"	"show a clean pair of ~s:lari"
"heel"	"cool(kick) one's ~s:(disuruh) menunggu lama"
"heel"	"come to ~:mengikuti/membuntuti tuannya (anjing),"
"heel"	"come to ~:mau dikuasai"
"heel"	"down at ~:usang tumitnya,berpakaian usang/buruk"
"heed"	"mphatikan,mengindahkan"
"heedful"	"penuh perhatian"
"hedge"	"pagar dr tanaman,membatasi,mengikat,mengelak per-"
"hedge"	"tanyaan,menjwb scr tdk langsung"
"hedgehog"	"landak"
"hedgerow"	"=hedge"
"hectic"	"merah yg tdk wajar,sangat sibuk"
"heavy"	"menjemukan,kurang menarik"
"heave"	"mengangkat,menarik,melemparkan,naik turun,kelihat-"
"heave"	"an,tampak,berhenti"
"hove"	"past participle heave"
"heat"	"perasaan yg meluap,pertandingan seleksi"
"heatedly"	"dgn marahnya/panasnya"
"heart"	"lose ~:tawar hati,kehilangan keberanian"
"heart"	"take ~:yakin"
"heart"	"take smthng to ~:sangat terpengaruh oleh"
"heart"	"a change of ~:mpbaiki kelakuan"
"heart"	"after one's own ~:yg paling disukai/disenangi"
"heartache"	"duka cita"
"heart-breaking"	"menyedihkan,menyayat hati"
"heartburn"	"mulas"
"heart-burning"	"dendam,hal iri hati,ketdkpuasan"
"hearten"	"memberi semangat,menghibur"
"heartfelt"	"tulus,jujur,ikhlas"
"heartrending"	"menyedihkan,memilukan hati"
"heartstrings"	"perasaan yg mendlm"
"heart-whole"	"blm pernah jatuh hati"
"hearty"	"jujur,tulus ikhlas,bsr,bnyk,kuat,sehat,lahap"
"heap"	"tumpukan,timbunan,onggokan,bnyk,memenuhi,mencurah-"
"heap"	"kan,melimpahkan"
"head"	"kepala,hidup,nyawa,otak,khayal,pikiran"
"head"	"off ~:gila"
"head"	"take into one's ~:percaya/berpikir bhw"
"head"	"above ~s:melampaui batas kemampuan utk dipahami"
"head over heels in-"	"love:mencintai dgn sepenu hati,jatuh hati"
"head"	"gbr kepala pd uang logam,seorg,ekor,atasan,judul"
"head"	"crowned ~s:raja,ratu"
"head"	"come to a ~:mjd genting,memuncak"
"head off"	"menghadang"
"head-dress"	"hiasan penutup kepala"
"header"	"hal menyelam dgn kepala lebih dulu"
"headlight"	"lampu bsr mobil"
"headland"	"tanjung"
"headlong"	"terjungkir,tanpa dipikirkan & tergesa2"
"headman"	"kepala suku/desa"
"headmaster"	"guru kepala sekolah"
"headmistress"	"guru kepala sekolah (wanita)"
"head-on"	"bertabrakan di bag dpn"
"headstrong"	"kepala batu"
"headway"	"kemajuan,perkembangan"
"headword"	"kata pokok"
"found"	"mulai membangun/mendirikan,meletakkan dsr"
"foundation"	"yayasan,bdn amal,lembaga,dana utk yayasan,fondasi"
"founder"	"pendiri,pembina"
"foul"	"menjijikkan,bau busuk,kotor,keji,kasar,buruk,cu-"
"foul"	"rang,melanggar peraturan"
"forward"	"ke/di muka,maju sekali,lebih dulu,bersedia,berha-"
"forward"	"srat bsr,sombong,meneruskan,menyampaikan,mengirim-"
"forward"	"kan"
"forward"	"come ~:tampil/maju ke dpn"
"forward"	"look ~ to:menanti2kan,mengharapkan"
"form"	"bentuk (umum),rupa,susunan,macam,formulir,kead-"
"form"	"jasmani,bangku tanpa sandaran,tingkatan pd seko-"
"form"	"lah menengah,membentuk,mewujud"
"formal"	"resmi,berpola/teratur geometris,bentuk lahir"
"formality"	"tingkah laku resmi/adat/UU"
"follow"	"memahami,bekerja di lapangan,menjlnkan usaha dlm"
"follow the sea"	"bekerja di laut,nelayan"
"follow the plough"	"petani"
"foment"	"menghasut,membangkitkan,menggosokkan balsem"
"fomentation"	"hasutan"
"fond"	"suka,gemar,mencintai,mengasihi,menyayangi,terlalu-"
"fond"	"mencintai,cinta buta,tdk mungkin tercapai"
"fondly"	"dgn gemar/penuh kasih sayang/penuh harapan"
"force"	"angkatan,pasukan"
"forceful"	"kuat,bertenaga,tegas"
"forcible"	"dipaksakan,dgn paksa"
"forcibly"	"scr/dgn paksa"
"for"	"menyetujui,menyokong"
"fool's errant"	"usaha yg sia2"
"fool's paradise"	"kebahagiaan yg tdk beralasan & singkat"
"fool"	"bodoh,menipu"
"fool away"	"menyia2kan,membuang2"
"foolery"	"kebodohan,perbuatan bodoh"
"foolhardy"	"berani tanpa perhitungan"
"foolish"	"bodoh,dungu,tanpa akal sehat"
"foolproof"	"sangat mudah shg org dungu pun bisa"
"foolscap"	"ukuran kertas folio"
"foot"	"set smthng on ~:memulai sesuatu"
"foot"	"put one's ~ down:menentang,protes,tegas pendirian"
"footpath"	"jln setapak"
"footman"	"jongos"
"footlights"	"lampu2 bag muka panggung"
"foot-fall"	"bunyi kaki menapak"
"foot the bill"	"membayar rekening/bon"
"foot-hills"	"bukit2 kecil di kaki pegunungan"
"foothold"	"tempat berpijak,tumpuan"
"footing"	"tempat berpijak,tumpuan,kedud,hubungan,dsr"
"dry bread"	"roti tawar"
"dry goods"	"padi2an,bahan pakaian dll"
"dry wines"	"minuuman anggur yg tdk manis"
"dry humour"	"hal lucu yg disampaikan scr sungguh2"
"dry books"	"buku2 yg tdk menarik"
"drily"	"scr kurang menarik"
"dryness"	"kekeringan"
"drier"	"pengering pakaian"
"drunk"	"mabuk"
"drunkard"	"pemabuk"
"drunken"	"berkenaan dgn akibat minum2 minuman keras"
"drunkenness"	"hal/kead mabuk"
"dribble"	"meneteskan,menitikkan,berliur,menggelincirkan (bo-"
"dribble"	"la),menetes"
"driblet"	"hal sedikit,tetes,titik"
"drench"	"menyebabkan basah kuyup"
"drawl"	"bicara lambat2"
"dread"	"kengerian,ketakutan+kekhawatiran"
"dreadful"	"mengerikan,kurang sedap,tdk menyenangkan,menakut-"
"dreadful"	"kan+mengkhawatirkan"
"dreamy"	"termenung,melamun,kabur,tdk nyata/jelas"
"dreary"	"menjemukan,suram,menyedihkan"
"dredge"	"alat pengeruk lumpur"
"dredger"	"kapal keruk"
"dress suit"	"pakaian setelan resmi utk pria"
"dress"	"mpsiapkan,merempahi,membumbui,membalut luka,menyi-"
"dress"	"sir rambut,menghiasi,menyemarakkan"
"dresser"	"juru rawat yg membalut luka,perabot yg tdr dr rak-"
"dresser"	"rak piring"
"dressing"	"pembalut luka,campuran rempah2"
"dressing-gown"	"pakaian longgar dipakai di luar baju tidur"
"drift"	"hanyut,hidup terombang-ambing/tanpa tuj,aliran,ke-"
"drift"	"cenderungan/maksud,tendensi"
"drifter"	"semcm perahu nelayan"
"drift-wood"	"kayu yg hanyut"
"drill"	"bor,latihan,kain yg tebal,kain dril,jalur utk me-"
"drill"	"nanam benih,mesin penanam benih di jalur itu"
"drink in"	"mencamkan dgn senang hati"
"drip"	"menetes,menitik"
"dripping"	"lemak yg menetes dr daging yg dipanggang"
"drive at"	"bermaksud,memukul/memasang kuat2 (bola/sekrup)"
"screw driver"	"obeng"
"drone"	"lebah jantan,penganggur yg hidup menumpang pd org-"
"drone"	"lain,dengung spt bunyi lebah,menyanyi/bicara dgn-"
"drone"	"suara datar"
"droop"	"menunduk,merunduk,terkulai"
"drop"	"titik,tetes,hal turun/jatuh,reda"
"drop behind"	"tertinggal,ketinggalan"
"drop in"	"singgah"
"drop off"	"mjd berkurang,tertidur"
"drop at"	"menurunkan"
"drop a hint"	"menyindir,memberi isyarat"
"drover"	"org yg menggiring ternak ke pasar"
"drown"	"menenggelamkan,mati lemas,menghilang,tdk terdengar"
"drown"	"lagi"
"drown out"	"terpaksa meninggalkan krn kebanjiran"
"drowse"	"1/2 tidur,menyebabkan mengantuk"
"drowsy"	"(membuat) mengantuk"
"drowsiness"	"kead mengantuk"
"drudge"	"membanting tulang,hrs kerja keras+lama+menjemukan"
"drudgery"	"pekerjaan yg menjemukan"
"drug"	"obat (bius/narkotik),barang yg tdk laku,memabukkan"
"drug"	"membius"
"druggist"	"penjual obat2an"
"drum into"	"mengulangi berkali2 spy ingat"
"drape"	"menyampaikan,menggantungkan,menghiasi,menutupi"
"draper"	"pedagang kain/pakaian"
"drapery"	"kain,pakaian,korden (yg digantungkan)"
"draft"	"bagan,rancangan,skema,rencana,rangka,bank draft,"
"draft"	"memilih org2 utk tuj ttt"
"draftsman"	"pembuat skema,perancang"
"drag"	"menarik dgn susah payah,menyeret,menghela,bergerak"
"drag"	"pelan2,lama & menjemukan,menjala,menjaring,rintang"
"drag"	"an"
"drain"	"pipa saluran,selokan,pelimbahan,menyalurkan,menga-"
"drain"	"lirkan,menguras,mengeringkan,menghabiskan sedikit2"
"drain"	"tapi terus-menerus,menghabiskan"
"drainage"	"sistem pengaliran"
"drama"	"rangkaian kejadian mendebarkan"
"dramatics"	"pertunjukan drama"
"dramatist"	"penulis drama"
"dramatize"	"membuat drama"
"doubt"	"keraguan,kesangsian"
"dotted about"	"berserakan,berhamburan"
"dove"	"burung dara,merpati,lambang perdamaian"
"dove-coloured"	"warna kelabu muda"
"dovetail"	"menggabungkan rencana,mptautkan"
"draught"	"aliran udara dlm ruang tertutup,penarikan jala,ke-"
"draught"	"dlman air agar kapal dpt mengapung,pengaliran cair"
"draught"	"an ke dlm tong,tong,teguk,hewan penarik/penghela,"
"draught"	"permainan dam,rancangan,skema,rangka"
"draughty"	"berangin,kena angin"
"draughtsman"	"buah dam,perancang,pembuat skema"
"draw"	"menarik,menghela,mencabut,mengambil,mengeluarkan,"
"draw"	"menghirup,mengalirkan,memanjangkan,memancing,me-"
"long-drawn-out"	"berlarut2"
"draw"	"nyebabkan,bergerak menuju"
"draw up"	"menyusun,menulis,mengarang,berdiri tegak,berhenti"
"draw in"	"mjd lebih pendek (hari di musim gugur)"
"draw out"	"mjd lebih panjang (hari di musim semi)"
"drawn"	"sayu krn terlalu capai/cemas"
"drawback"	"halangan,kekecewaan,aral"
"drawbridge"	"jembatan angkat"
"drawer"	"laci"
"drawers"	"celana dlm yg diikat di pinggang"
"drawing"	"gambar"
"drawing-pin"	"paku payung,pines"
"drawing-room"	"kamar tamu/duduk"
"double"	"at the ~:berlari2 anak"
"double"	"tikungan tajam"
"double up"	"melipat,membungkukkan badan shg sakit"
"doubleback"	"berbalik dgn cepat spy tdk tertangkap dll"
"double-dealer"	"penipu"
"double-entry"	"pembukuan rangkap"
"down"	"tegas,permanen,di atas kertas,sepanjang,menaruh,"
"down"	"walk up & ~:mondar-mandir"
"down & out"	"sangat capai/lesu,letih"
"down"	"meletakkan,mengalahkan"
"downcast"	"sedih,murung,melihat ke bawah"
"downfall"	"lebat,kehancuran (tiba2)"
"downhearted"	"sedih,hilang harapan"
"downpour"	"hujan lebat"
"downright"	"jujur,tulus,sungguh2"
"downstairs"	"tingkat bawah"
"downtrodden"	"ditindas,diinjak2"
"downward"	"bergerak menurun,menuju ke bawah"
"downwards"	"ke (arah) bawah"
"dormant"	"dlm kead tidur,tdk giat krn menunggu perkembangan/"
"dormant"	"kegiatan"
"dope"	"pelitur,pernis,obat2an berbahaya (bius)"
"dominion"	"hal memerintah,kekuasaan,neg berpemerintahan sen-"
"dominion"	"diri tapi masih anggota neg bsr"
"dogma"	"kepercayaan (hrs diterima tanpa dibantah)"
"dogmatic"	"dikemukakan scr dogma"
"dogmatize"	"membuat pernyataan dogmatis"
"dominate"	"memp pemandangan luas ke bawah"
"dominance"	"hal berkuasa,kekuasaan"
"domineer"	"bertindak spt org berkuasa"
"domestic"	"berkenaan dgn rumah tangga,dlm neg,pribumi,piaraan"
"domesticate"	"menyukai urusan rumah tangga,jinak"
"domesticity"	"kehidupan berumah tangga"
"documentary"	"dlm bentuk dokumen"
"doctor"	"membubuhi obat(menyebabkan kurang baik),memalsukan"
"doctorate"	"gelar doktor"
"do out"	"mendpt dgn jln menipu"
"do"	"be done for:binasa,tdk berguna,rusak"
"do up"	"membersihkan,mpbarui,mencuci,mengancingkan,mengi-"
"do up"	"kat"
"do with"	"bersedia utk,menyambut,memerlukan,puas dgn"
"do away with"	"membuang,mengakhiri"
"have to do with"	"mengenai,berkenaan/berhub dgn"
"divine"	"meramalkan,mbendpt firasat,merenung,menilik,berke-"
"diviner"	"peramal,pawang"
"divination"	"firasat,ramalan"
"divine"	"naan dgn/spt Tuhan,hebat,istimewa,indah,baik,pen-"
"Divine Service"	"Upacara Keagamaan"
"divine"	"deta"
"divinity"	"sifat ketuhanan,kedewaan,ilmu keagamaan"
"dividend"	"pembilang,deviden"
"dividers"	"jangka"
"divisible"	"yg dpt dibagi"
"division"	"grs pemisah,bag,pembagian"
"divisor"	"penyebut"
"divest"	"menanggalkan pakaian,mencabut,melucuti (pangkat)"
"divest of"	"menghentikan,melepaskan,membuang(pangkat/kehormatn"
"divert"	"mengalihkan,menghibur"
"diverting"	"menyenangkan,menggelikan"
"diversion"	"hiburan,penyimpangan,hal mengalihkan"
"disturb"	"mengganggu,mengacau"
"disturbance"	"gangguan,kekacauan"
"distrust"	"tdk mempercayai,mencurigai,sangsi,ragu"
"distrustful"	"curiga,sangsi,tdk percaya"
"district"	"daerah,kawasan"
"distress"	"kesedihan,penderitaan,kesengsaraan,kead bahaya,ke-"
"distress"	"sulitan"
"distract"	"mengalihkan perhatian,mengganggu"
"distracted"	"bingung,bimbang,terbagi2 perhatiannya"
"distraction"	"gangguan"
"distort"	"meringis,memutarbalikkan"
"distinguish"	"membedakan,mjd ciri2,mjd ternama/terkenal,menun-"
"distinguish"	"jukkan keunggulan/keistimewaan,sifat2,perbedaan"
"distinguished"	"ternama,terkenal,masyur,terkemuka,unggul"
"distinct"	"jelas,nyata,terang,istimewa,terpisah,lain"
