# dari http://www.geocities.com/CapeCanaveral/1999/, last mod 1995-11-29
# "You can download English-Indonesian dictionary (323k) that I made. Use WINZIP.EXE to unpack the file. I use dbf file (dBase III+). It has over that 17,000 words. This dictionary is designed to help us (Indonesian) reading English literatures, so I omit simple words that everybody usually knows. You may modify it to meet your needs. It's for free. It's for end user only, not commercial. You can distribute this file to everybody who needs it."
"ENGLISH,C,20"	"INDONESIA,C,50"
"pal"	"sahabat"
"pallor"	"muka pucat"
"pallid"	"pucat,kelihatan sakit"
"palisade"	"pagar dr batang kayu yg runcing"
"painter"	"tali penambat perahu"
"aback"	"taken ~:terkejut,heran"
"abacus"	"sipoa"
"abandon"	"putus asa,batal"
"abase"	"menghina,menurunkan martabat"
"abasement"	"penghinaan"
"abashed"	"bingung,malu"
"abate"	"mengurangi,meghapuskan,membatalkan,berkurang"
"abattoir"	"tempat penjagalan hewan"
"abbess"	"kepala (asrama) biarawati"
"abbott"	"kepala biarawan/biara"
"abbey"	"masyarakat biarawan/biarawati gereja"
"abdicate"	"turun/menyerahkan tahta"
"abdomen"	"perut & isinya"
"abduct"	"penculikan"
"abet"	"aid & ~:membantu & menghasut"
"abeyance"	"dlm kead non aktif utk sementara wkt"
"abhor"	"benci/jijik thd/pd sesuatu/seseorg"
"abhorent"	"mengerikan"
"abound"	"berlimpah-limpah"
"abide"	"rumah tinggal"
"abode"	"rumah tinggal"
"aboard"	"dlm kendaraan (kapal/pesawat/bis)"
"ablaze"	"terbakar,terang bernyala2"
"abjure"	"bersumpah di hadapan umum akan melepaskan jabatan"
"abscess"	"bisul"
"bettle"	"kumbang"
"befall"	"menimpa"
"befit"	"pantas/wajar"
"befriend"	"berlaku sbg teman,menolong"
"beaver"	"hewan berbulu tebal,coklat,halus,amfibi"
"becalmed"	"(kapal) yg terhenti krn tdk ada angin"
"beckon"	"memanggil org dg isyarat"
"beck"	"tanda,isyarat"
"beau"	"pemuja gadis"
"beatnik"	"kelompok pemuda yg bertingkah aneh2"
"bedlam"	"huru hara,rumah sakit jiwa"
"bee"	"lebah;make a ~ line for:mengambil jln pintas"
"beehive"	"sarang lebah"
"beeswax"	"lilin lebah"
"beef"	"daging sapi/lembu"
"beige"	"warna batu pasir"
"belabour"	"menghantam"
"belated"	"terlambat"
"beleaguer"	"mengepung"
"begone"	"pergilah,enyahlah"
"behead"	"memenggal kepala"
"belittle"	"meremehkan"
"belfry"	"menara lonceng"
"belie"	"memberi kesan keliru,tdk menepati janji"
"bellicose"	"suka bertengkar"
"belligerent"	"negara/pihak yg berperang"
"bellow"	"lenguh sapi,suara kesakitan,berteriak keras2"
"bellows"	"alat penghembus udara ke api/orgel"
"belly"	"isi perut"
"belly out"	"(layar) menggembung"
"bemoan"	"meratapi"
"berry"	"buah strawberry"
"benumb"	"mengebaskan"
"igneous"	"bukit yg terbentuk oleh panas gunung berapi"
"ignite"	"menyalakan"
"ignoble"	"hina"
"idiotic"	"idiot"
"icon"	"gambar org suci"
"illicit"	"melanggar hukum,haram"
"imbed"	"menancapkan"
"imbecile"	"dungu"
"imbibe"	"minum,meneguk,mencamkan,menyerap"
"imbue"	"penuh dg semangat/kebencian"
"immaculate"	"sempurna,suci"
"immaterial"	"tdk penting,bentuk abstrak"
"immemorial"	"dulu kala shg terlupakan"
"immerse"	"membenamkan"
"imp"	"anak setan/nakal"
"impact"	"tumbukan,benturan"
"impair"	"melemahkan,merusak"
"impale"	"menusuk"
"impart"	"memberitahukan/meneruskan rahasia"
"impasse"	"jln buntu"
"impassioned"	"penuh semangat"
"odour"	"berbau"
"ode"	"syair pujian"
"odious"	"menjijikan,meenimbulkan perasaan benci"
"odium"	"kebencian yg merata"
"achre"	"warna coklat kekuningan"
"octagon(al)"	"segi 8"
"occident"	"negara2 Barat"
"obviate"	"menyingkirkan/menghindarkan"
"wellingtons"	"sepatu boot sampai lutut"
"welt"	"sol sepatu,bilur"
"welter"	"berkubang,kekacauan"
"wend"	"pergi ke"
"wench"	"perempuan muda"
"wether"	"biri2 jantan dikebiri"
"whack"	"mendera"
"whither"	"di/ke mana"
"whinny"	"ringkik kuda"
"whey"	"air sisa setelah susu dibuat keju"
"vale"	"lembah"
"upbraid"	"memarahi"
"upbringing"	"mengasuh"
"upstream"	"ke hulu"
"urchin"	"anak berandal"
"usury"	"riba"
"usurer"	"lintah darat"
"spoke"	"jari2,ruji"
"spook"	"hantu"
"spool"	"kumparan"
"spoor"	"jejak binatang"
"spore"	"spora"
"spouse"	"suami/istri"
"sprat"	"ikan laut kecil"
"spinach"	"bayam"
"spinet"	"piano kuno"
"spinster"	"perawan tua"
"spire"	"bangunan tinggi/runcing pada gereja"
"prosody"	"pengetahuan ttg persajakan"
"prosaic"	"biasa,membosankan"
"lent"	"40 hari sblm Paskah"
"leopard"	"macam tutul"
"lewd"	"cabul"
"lexicon"	"kamus"
"lexicography"	"perkamusan"
"lichen"	"semacam lumut"
"liar"	"pembohong"
"libation"	"persembahan anggur kpd dewa"
"lettuce"	"daun selada"
"lest"	"jangan sampai,kalau2,spy jangan"
"lentil"	"kacang2an"
"leviathan"	"hewan laut/sesuatu yg besar"
"lever"	"pengungkit"
"leverage"	"daya pengungkit"
"levity"	"sifat kurang sungguh2"
"liaison"	"(tentara) penghubung"
